id,name,sugar
470,Java Chip (Without Whipped Cream) made with Whole Milk,44
471,Java Chip (Without Whipped Cream) made with Soymilk,42
472,Java Chip (Without Whipped Cream) made with Grande Nonfat Milk,62
473,Java Chip (Without Whipped Cream) made with Whole Milk,62
474,Java Chip (Without Whipped Cream) made with Soymilk,60
475,Java Chip (Without Whipped Cream) made with Venti Nonfat Milk,84
476,Java Chip (Without Whipped Cream) made with Whole Milk,84
477,Java Chip (Without Whipped Cream) made with Soymilk,80
478,Coffee made with Tall Nonfat Milk,19
479,Coffee made with Grande Nonfat Milk,26
480,Coffee made with Venti Nonfat Milk,33
481,Mocha made with Tall Nonfat Milk,23
482,Mocha made with Grande Nonfat Milk,30
483,Mocha made with Venti Nonfat Milk,42
484,Caramel made with Tall Nonfat Milk,23
485,Caramel made with Grande Nonfat Milk,32
486,Caramel made with Venti Nonfat Milk,43
487,Java Chip made with Tall Nonfat Milk,27
488,Java Chip made with Grande Nonfat Milk,39
489,Java Chip made with Venti Nonfat Milk,52
490,Strawberries & Crème (Without Whipped Cream) made with Tall Nonfat Milk,38
491,Strawberries & Crème (Without Whipped Cream) made with Whole Milk,37
492,Strawberries & Crème (Without Whipped Cream) made with Soymilk,35
493,Strawberries & Crème (Without Whipped Cream) made with Grande Nonfat Milk,52
494,Strawberries & Crème (Without Whipped Cream) made with Whole Milk,52
495,Strawberries & Crème (Without Whipped Cream) made with Soymilk,49
496,Strawberries & Crème (Without Whipped Cream) made with Venti Nonfat Milk,69
497,Strawberries & Crème (Without Whipped Cream) made with Whole Milk,68
498,Strawberries & Crème (Without Whipped Cream) made with Soymilk,64
499,Vanilla Bean (Without Whipped Cream) made with Tall Nonfat Milk,38
500,Vanilla Bean (Without Whipped Cream) made with Whole Milk,38
501,Vanilla Bean (Without Whipped Cream) made with Soymilk,35
502,Vanilla Bean (Without Whipped Cream) made with Grande Nonfat Milk,55
503,Mcdonalds Artisan Grilled Chicken Sandwich,11
504,Mcdonalds Single Bacon Smokehouse Burger,18
505,Mcdonalds Double Bacon Smokehouse Burger,18
506,Mcdonalds Grilled Bacon Smokehouse Chicken Sandwich,18
507,Mcdonalds Crispy Bacon Smokehouse Chicken Sandwich,18
508,Mcdonalds Big Mac,9
509,Mcdonalds Cheeseburger,7
510,Mcdonalds Classic Chicken Sandwich,6
511,Mcdonalds Double Cheeseburger,7
512,Mcdonalds Double Quarter Pounder® with Cheese,10
513,Mcdonalds Filet-O-Fish®,5
514,Mcdonalds Garlic White Cheddar Burger,11
515,Mcdonalds Grilled Garlic White Cheddar Chicken Sandwich,11
516,Mcdonalds Crispy Garlic White Cheddar Chicken Sandwich,11
517,Mcdonalds Hamburger,6
518,Mcdonalds Lobster Roll,3
519,Mcdonalds Maple Bacon Dijon 1/4 lb Burger,10
520,Mcdonalds Grilled Maple Bacon Dijon Chicken Sandwich,14
521,Mcdonalds Crispy Maple Bacon Dijon Chicken Sandwich,14
522,Mcdonalds McChicken,5
